RESULT_COUNT: 3852,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
OWNER_CIK,OWNER_NAME,FILING_DATE,FILING_URL,DIRECTOR,OFFICER,TEN_PERCENT_OWNER,OTHER_RELATION,OFFICER_TITLE,DERIVATIVE_TRANSACTION,SECURITY_TITLE,CONVERSION_EXERCISE_PRICE,TRANSACTION_DATE,DEEMED_EXECUTION_DATE,TRANSACTION_TYPE_CODE,ACQUISITION_DISPOSITION_CODE,AMOUNT_OF_SHARES,EXERCISE_DATE,EXPIRATION_DATE,UNDERLYING_SECURITY_TITLE,UNDERLYING_SHARES,TRANSACTION_PRICE,TOTAL_SHARES_OWNED,OWNERSHIP_TYPE_CODE,REPORT_LINE_NUMBER
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,1772.0,D,4
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2147.0,D,5
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2785.0,D,6
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2591.0,D,7
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,2039.0,D,8
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,2017-03-28,,F,D,304.0,,,,,40.26,532.0,D,1
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,9801.8016,I,2
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,21053.0,D,3
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,4729.7839,D,4
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,2082.0,D,5
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,2909.0,D,6
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,3774.0,D,7
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,3551.0,D,8
0001312729,Mantua Philip J,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013216/xslF345X03/form4.xml,,true,,,"EVP, Chief Financial Officer",false,Common Stock,,,,,,,,,,,,2836.0,D,9
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,2017-03-28,,F,D,49.0,,,,,40.26,88.0,D,1
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,3274.0,D,2
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,220.0,D,3
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,1139.0,D,4
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,2511.0,D,5
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,2333.0,D,6
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,1857.0,D,7
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),18.69,,,,,,2012-03-30,2018-03-30,Common Stock,1872.0,,1872.0,D,8
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),19.02,,,,,,2013-03-28,2019-03-28,Common Stock,744.0,,744.0,D,9
0001591310,McDowell Ronda M,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013215/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),20.26,,,,,,2014-04-01,2020-03-27,Common Stock,597.0,,597.0,D,10
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,2017-03-15,,A,A,1857.0,,,,,0.0,1857.0,D,1
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,3186.0,D,2
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,137.0,D,3
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,220.0,D,4
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,1139.0,D,5
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,2511.0,D,6
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",false,Common Stock,,,,,,,,,,,,2333.0,D,7
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),18.69,,,,,,2012-03-30,2018-03-30,Common Stock,1872.0,,1872.0,D,8
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),19.02,,,,,,2013-03-28,2019-03-28,Common Stock,744.0,,744.0,D,9
0001591310,McDowell Ronda M,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012019/xslF345X03/form4.xml,,true,,,"EVP, Chief Credit Officer",true,Stock Options (Right to Buy),20.26,,,,,,2014-04-01,2020-03-27,Common Stock,597.0,,597.0,D,10
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,2017-03-15,,A,A,2053.0,,,,,0.0,2053.0,D,1
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,6790.0,D,2
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,662.0,D,3
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,1680.0,D,4
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,2053.0,D,5
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,2704.0,D,6
0001512423,Sadowski John D,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012018/xslF345X03/form4.xml,,true,,,"EVP, Chief Information Officer",false,Common Stock,,,,,,,,,,,,2581.0,D,7
0001238410,KUYKENDALL RONALD E,2017-03-16,https://www.sec.gov/Archives/edgar/data/824410/000112760217012017/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,2017-03-15,,A,A,2039.0,,,,,0.0,2039.0,D,1
